Date,AAPL,MSFT,NVDA,BABA
2019-08-05,48.334999084472656,153.6699981689453,132.2100067138672,37.6974983215332
2019-08-06,49.25,157.42999267578125,134.69000244140625,38.087501525878906
2019-08-07,49.7599983215332,159.1699981689453,135.27999877929688,38.47249984741211
2019-08-08,50.85749816894531,162.22000122070312,138.88999938964844,39.564998626708984
2019-08-09,50.247501373291016,159.1199951171875,137.7100067138672,38.54499816894531
2019-08-12,50.119998931884766,159.30999755859375,135.7899932861328,37.86249923706055
2019-08-13,52.24250030517578,164.02999877929688,138.60000610351562,39.01250076293945
2019-08-14,50.6875,162.05999755859375,133.97999572753906,37.51750183105469
2019-08-15,50.435001373291016,166.97000122070312,133.67999267578125,37.192501068115234
2019-08-16,51.625,174.60000610351562,136.1300048828125,39.88999938964844
